h,distance,angle,situation_DirectFreekick,situation_FromCorner,situation_OpenPlay,situation_SetPiece,shotType_Head,shotType_LeftFoot,shotType_OtherBodyPart,shotType_RightFoot
1.0,0.26541476399824365,0.27471969499942894,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.25863098267411,0.453420593803863,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.10049874710137238,1.0087206254071668,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.2860244636743345,0.3809031308618689,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.36314182405088025,0.25268255165973463,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.23107790319494242,0.4510627851493796,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.1950717571766837,0.5524578663085227,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.30088699584426953,0.2719284745348558,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.18022486031249535,0.6421535306816577,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.2688958999973806,0.19486119208259245,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.23690714530941764,0.4398792614957735,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.2622918055171673,0.44783709076206385,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.19498720645507361,0.29768211536634914,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.22135038812645144,0.4569640845539249,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.25915633926012954,0.4547858377752966,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.16905618291254007,0.6306979149092051,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.11761374512357463,0.9409719038610758,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.04850776264166404,1.7839985014626856,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.2648036887220253,0.36369887730447936,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.24968778526853413,0.31958366027166196,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.22020443365084094,0.5135627120723162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.261197238569866,0.3555923824985352,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.30391609718040025,0.3452024880345928,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.11216060186336695,0.6593450752178647,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.13201512024718207,0.8531118315673142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.27598008370066707,0.22436691814823873,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.12432620021072929,0.8979842243260432,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0740270375526312,1.3621650797766445,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.15061537183958404,0.5922228558116482,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.1762384470947703,0.3440847225222199,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.27518177142430605,0.42081989068959125,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.06735726621721176,1.4493909892101737,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.2583834547810488,0.4418718040570096,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.3578966231027757,0.24465735376097375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.12637249856015015,0.8732654784749664,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.1358307829697421,0.6747409647790299,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.096317195909057,0.41776619636954204,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.3001282867289811,0.3778039510572331,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.27908424029958184,0.38102612809881353,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.15307516567901122,0.4209905317802076,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.22000909079062533,0.5324650473374923,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.08603486742644753,1.1979405791228297,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.20796634361428348,0.2687471488784109,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.08676407194748971,1.173458746282036,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.19980988950339848,0.41121401758589005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.23963516543322308,0.47909505187301843,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.23830445698977668,0.4839740715289196,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
